schema,table,row_count,columns_count,pk_columns,fk_out_count,fk_in_count,indexes_count
oms,Atributo,2,7,"AtributoId",1,2,2
oms,AtributoValor,22,7,"AtributoValorId",1,1,2
oms,Bodega,2,12,"BodegaId",4,3,4
oms,CanalVenta,25,8,"CanalVentaId",1,2,3
oms,Categoria,10,15,"CategoriaId",2,2,4
oms,Ciudad,3,7,"CiudadId",1,6,2
oms,Color,10,13,"ColorId",1,0,5
oms,CostoTransporte,2,15,"CostoTransporteId",4,0,2
oms,DetallePedido,0,18,"DetallePedidoId",6,1,4
oms,Empresa,5,13,"EmpresaId",3,23,3
oms,EmpresaCliente,0,12,"EmpresaClienteId",3,1,2
oms,Estado,14,9,"EstadoId",0,4,3
oms,Integracion,0,9,"IntegracionId",2,0,2
oms,Inventario,32,7,"InventarioId",3,0,3
oms,InventarioReserva,0,9,"InventarioReservaId",4,0,3
oms,ListaPrecio,0,9,"ListaPrecioId",2,1,2
oms,Log,35,13,"LogId",2,0,4
oms,Moneda,3,7,"MonedaId",0,4,2
oms,OfertaPrecio,0,9,"OfertaPrecioId",1,1,3
oms,OfertaPrecioDetalle,0,8,"OfertaPrecioDetalleId",2,0,3
oms,Pais,5,6,"PaisId",0,7,2
oms,PasarelaPago,0,8,"PasarelaPagoId",1,1,2
oms,Pedido,105,28,"PedidoId",10,2,6
oms,PedidoEstadoHistorial,37,6,"PedidoEstadoHistorialId",3,0,2
oms,Perfil,4,5,"PerfilId",0,1,2
oms,PrecioVariante,0,9,"PrecioVarianteId",2,0,3
oms,Producto,10,10,"ProductoId",2,2,3
oms,ProductoTexto,0,11,"ProductoTextoId",1,0,4
oms,ProductoVariante,16,13,"VarianteId",2,7,3
oms,Talla,12,9,"TallaId",1,0,4
oms,TarifaPrecio,0,10,"TarifaPrecioId",1,2,2
oms,TarifaPrecioDetalle,0,8,"TarifaPrecioDetalleId",2,0,3
oms,Tienda,2,12,"TiendaId",3,2,2
oms,Transportadora,1,8,"TransportadoraId",1,2,2
oms,Usuario,5,11,"UsuarioId",2,2,3
oms,VarianteAtributo,32,4,"VarianteId|AtributoId",3,0,2
oms,ZonaCiudad,3,2,"ZonaTransporteId|CiudadId",2,0,1
oms,ZonaTransporte,2,8,"ZonaTransporteId",2,2,2
